"","claim_start_date","claim_status","condition_category","claim_id","tenure.x","exposure_id","claim_paid","total_claim_amount","UW_Date","tenure.y","pet_gender","pet_de_sexed","pet_de_sexed_age","pet_is_switcher","nb_policy_first_inception_date","pet_age_months","nb_contribution","nb_excess","nb_address_type_adj","nb_suburb","nb_postcode","nb_state","person_dob","nb_contribution_excess","owner_age_years","nb_number_of_breeds","nb_average_breed_size","nb_breed_type","nb_breed_trait","nb_breed_name_unique","nb_breed_name_unique_concat","is_multi_pet_plan","lead_date_day","quote_date","quote_time_group","exposure_id_1","earned_units"
"1","2024-04-04 00:00:00","covered_paid","Ingestion","claim_e784360f-358e-4d2c-964e-ee553915c2c6",3,"exposure_6bd4b3c2-7339-4e31-a728-ef42c7d5fde7",175.272727272727,219.090909090909,2024-08-01,7,"female","false","","",2024-01-17,2,80,100,"House","Ferny Grove","4055","QLD",1979-01-12,80100,45,1,1,"designerbreed","water dog","cavoodle","cavoodle","false",1970-01-01,2024-01-18,"Evening (18:00 - 23:59)","exposure_6bd4b3c2-7339-4e31-a728-ef42c7d5fde7",1
"2","2024-08-21 00:00:00","covered_paid","Ortho","claim_82187c31-c6a8-4239-a690-4c2436535b22",7,"exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",152.727272727273,190.909090909091,2024-08-01,7,"male","false","","",2023-12-31,1,80,100,"House","Greendale","3341","VIC",1966-01-22,80100,57,1,2,"unnamed cross","unknown","border collie cross","border collie cross","false",1970-01-01,2024-01-01,"Morning (05:00 - 11:59)","exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",1
"3","2024-04-14 00:00:00","covered_paid","Gastrointestinal Issues","claim_329fc08d-a641-47df-bcc9-6050dd8a554d",0,"exposure_6e6855c3-142f-4e0a-ab59-64d23bce3cbd",237.727272727273,328.636363636364,2024-08-01,4,"female","true","7-12 mo","",2024-04-01,35,100,100,"House","Marsden Park","2765","NSW",1984-07-23,100100,39,1,1,"unnamed cross","unknown","shih tzu cross","shih tzu cross","false",1970-01-01,2024-04-02,"Afternoon (12:00 - 17:59)","exposure_6e6855c3-142f-4e0a-ab59-64d23bce3cbd",1
"4","2024-05-19 00:00:00","covered_paid","Injuries","claim_0345eef8-7efc-4c75-b330-3943cf6754f0",6,"exposure_76ecded4-7bda-46e7-b4bb-4b34e97acfaa",349.4,479.136363636364,2024-08-01,9,"male","false","","",2023-11-03,17,90,100,"House","Moama","2731","NSW",1974-08-01,90100,49,1,3,"purebred","hound","rhodesian ridgeback","rhodesian ridgeback","false",1970-01-01,2023-11-04,"Morning (05:00 - 11:59)","exposure_76ecded4-7bda-46e7-b4bb-4b34e97acfaa",1
"5","2024-02-24 00:00:00","covered_paid","Gastrointestinal Issues","claim_befef58f-1b72-4aa5-84ed-f910394d5342",1,"exposure_77313162-e1d0-4950-8126-16282411bf07",59.8909090909091,165.772727272727,2024-08-01,7,"male","false","","",2024-01-26,3,80,100,"House","Erskineville","2043","NSW",1993-05-06,80100,30,1,2,"unnamed cross","unknown","australian kelpie cross","australian kelpie cross","false",1970-01-01,2024-01-26,"Afternoon (12:00 - 17:59)","exposure_77313162-e1d0-4950-8126-16282411bf07",1
"6","2024-08-20 00:00:00","covered_paid","Eyes & ears","claim_22b61a10-e520-4596-ab5d-9d2f02d1e29c",5,"exposure_77c2f714-d25d-4b05-a5e5-eec65d0ffc27",61.8545454545455,159.636363636364,2024-08-01,5,"female","false","","",2024-03-20,2,90,100,"Apartment","Wellington Point","4160","QLD",1985-12-02,90100,38,1,2,"purebred","collie related","australian shepherd","australian shepherd","true",1970-01-01,2024-03-21,"Afternoon (12:00 - 17:59)","exposure_77c2f714-d25d-4b05-a5e5-eec65d0ffc27",1
"7","2024-05-30 00:00:00","covered_paid","Other","claim_d0681a03-0d56-4ec2-a2f3-d81be60cfe2a",6,"exposure_7a9576c3-1818-42bd-8bfe-1a181ebd3ca1",43.8545454545455,145.727272727273,2024-08-01,9,"female","false","","",2023-11-12,2,80,100,"House","Nirimba","4551","QLD",1988-06-13,80100,35,1,3,"purebred","retriever","golden retriever","golden retriever","false",1970-01-01,2023-11-13,"Morning (05:00 - 11:59)","exposure_7a9576c3-1818-42bd-8bfe-1a181ebd3ca1",0
"8","2024-04-29 00:00:00","covered_paid","Other","claim_02fd543f-c5cf-4972-80c7-d9e3f67a5af1",2,"exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874",152.145454545455,190.181818181818,2024-08-01,6,"female","false","","",2024-02-19,2,80,100,"House","Rouse Hill","2155","NSW",1991-12-02,80100,32,1,3,"purebred","spitz related","chow chow","chow chow","false",1970-01-01,2024-02-20,"Evening (18:00 - 23:59)","exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874",1
"9","2024-07-24 00:00:00","covered_paid","Injuries","claim_829efb56-f9f5-4427-af53-7524fd29d6f1",5,"exposure_01f611dd-0f98-4e66-ae8c-969b14bc292e",122.909090909091,244.545454545455,2024-08-01,6,"male","true","7-12 mo","",2024-02-14,45,80,100,"Apartment","Rose Bay","2029","NSW",1987-09-22,80100,36,1,1,"purebred","teckel","dachshundminiature smooth haired","dachshundminiature smooth haired","false",1970-01-01,2024-01-01,"Evening (18:00 - 23:59)","exposure_01f611dd-0f98-4e66-ae8c-969b14bc292e",1
"10","2024-06-20 00:00:00","covered_paid","Ingestion","claim_03f3f3f9-41ea-4f75-93c5-6bb19b3dae7f",3,"exposure_050d63db-da51-4a80-be49-44b73cc08f05",138.272727272727,153.636363636364,2024-08-01,5,"female","false","","",2024-03-19,5,90,100,"House","Newstead","4006","QLD",1998-05-08,90100,25,1,1,"purebred","spitz related","pomeranian","pomeranian","false",1970-01-01,2024-03-20,"Afternoon (12:00 - 17:59)","exposure_050d63db-da51-4a80-be49-44b73cc08f05",1
"11","2024-03-12 00:00:00","covered_paid","Illness","claim_b49eb82c-57e3-4ecc-b6c1-97924cf49b82",3,"exposure_08aee0af-73f7-4b9d-a1e9-0b69bae609db",156.509090909091,195.636363636364,2024-08-01,8,"female","false","","",2023-12-22,6,80,0,"House","Caroline Springs","3023","VIC",1978-02-22,800,45,1,2,"purebred","brachycephalic","staffordshire bull terrier","staffordshire bull terrier","false",1970-01-01,2023-12-23,"Morning (05:00 - 11:59)","exposure_08aee0af-73f7-4b9d-a1e9-0b69bae609db",1
"12","2024-03-20 00:00:00","covered_paid","Injuries","claim_39af1014-d52d-4976-a714-c068ea2c73d8",2,"exposure_08b58d0c-480f-4142-854e-7aa8ef297fbc",118.909090909091,148.636363636364,2024-08-01,7,"male","false","","",2024-01-06,2,80,0,"House","Point Lonsdale","3225","VIC",1966-03-27,800,57,1,3,"purebred","retriever","labrador retriever","labrador retriever","true",1970-01-01,2024-01-07,"Afternoon (12:00 - 17:59)","exposure_08b58d0c-480f-4142-854e-7aa8ef297fbc",1
"13","2024-04-03 00:00:00","covered_paid","Illness","claim_24bbf11f-7947-4715-8bc9-06b7fbb76f94",2,"exposure_0f6a6a8c-82e0-416f-9dcf-8f2e93975e3a",749.090909090909,1027.27272727273,2024-08-01,6,"male","true","4-6 mo","",2024-02-09,99,80,100,"Apartment","Cammeray","2062","NSW",1996-08-02,80100,27,1,1,"designerbreed","water dog","cavoodle","cavoodle","false",1970-01-01,2024-02-10,"Afternoon (12:00 - 17:59)","exposure_0f6a6a8c-82e0-416f-9dcf-8f2e93975e3a",1
"14","2024-06-28 00:00:00","covered_paid","Ingestion","claim_8aa3fead-3ed4-4313-9b20-b2d343761ff7",7,"exposure_10d14c13-3fd7-4475-8791-bca34fc1994f",680.1,850.127272727273,2024-08-01,9,"male","false","","",2023-11-26,2,80,0,"House","Pialba","4655","QLD",2005-05-02,800,18,3,2,"cross","cross","cross","australian cattle dogstumpy tail, border collie cross, staffordshire bull terrier","false",1970-01-01,2023-11-27,"Afternoon (12:00 - 17:59)","exposure_10d14c13-3fd7-4475-8791-bca34fc1994f",1
"15","2024-08-29 00:00:00","covered","Gastrointestinal Issues","claim_8fc6de92-4cef-4890-8d78-d1ff1adee705",9,"exposure_11489811-f986-4ef2-9090-46db3f423860",28.7272727272727,126.818181818182,2024-08-01,9,"male","true","1-2 yr","",2023-10-31,93,80,100,"House","Wannanup","6210","WA",1993-07-26,80100,30,1,2,"purebred","spitz related","shiba inu","shiba inu","false",1970-01-01,2023-10-22,"Afternoon (12:00 - 17:59)","exposure_11489811-f986-4ef2-9090-46db3f423860",1
"16","2024-05-28 00:00:00","covered_paid","Other","claim_23d39728-8da8-4acf-987f-aa6e670b6dfc",5,"exposure_1af04a4e-fc69-403e-b5c1-cc791b129627",283.245454545454,444.972727272727,2024-08-01,8,"male","true","2+ yr","",2023-12-14,60,80,100,"House","Punchbowl","2196","NSW",1990-01-17,80100,33,1,1,"unnamed cross","unknown","chihuahua cross","chihuahua cross","false",1970-01-01,2023-12-15,"Afternoon (12:00 - 17:59)","exposure_1af04a4e-fc69-403e-b5c1-cc791b129627",1
"17","2024-05-08 00:00:00","covered_paid","Other","claim_1274c11c-0158-4824-91d9-fe39918592de",5,"exposure_24f6957d-14ff-4512-8893-c90796491939",262.909090909091,328.636363636364,2024-08-01,8,"male","false","","",2023-12-01,59,80,100,"House","Banksia Beach","4507","QLD",1976-08-10,80100,47,1,3,"purebred","brachycephalic","american staffordshire terrier","american staffordshire terrier","false",1970-01-01,2023-12-02,"Afternoon (12:00 - 17:59)","exposure_24f6957d-14ff-4512-8893-c90796491939",1
"18","2024-08-10 00:00:00","covered_paid","Ingestion","claim_d5595bac-852b-46dd-a540-4f441424f3f5",6,"exposure_278f26c3-d881-41c5-ab14-7c051e76599c",1078.70909090909,1348.39090909091,2024-08-01,6,"female","false","","",2024-02-11,5,80,100,"House","Seaford","5169","SA",1983-08-23,80100,40,1,1,"purebred","brachycephalic","boston terrier","boston terrier","false",1970-01-01,2024-02-12,"Afternoon (12:00 - 17:59)","exposure_278f26c3-d881-41c5-ab14-7c051e76599c",1
"19","2024-03-27 00:00:00","covered_paid","Ingestion","claim_9dc1f1da-9cba-4b9e-afe1-43261b3a8ff0",1,"exposure_29655dbb-6462-4de4-ad87-51c015a80940",101.890909090909,204.127272727273,2024-08-01,6,"male","false","","",2024-02-18,2,90,100,"House","Mclaren Vale","5171","SA",1986-01-23,90100,38,1,3,"purebred","retriever","golden retriever","golden retriever","false",1970-01-01,2024-02-19,"Morning (05:00 - 11:59)","exposure_29655dbb-6462-4de4-ad87-51c015a80940",1
"20","2024-04-04 00:00:00","covered_paid","Ingestion","claim_26d9eab7-5ca9-4013-8996-f444da2b9b64",3,"exposure_6bd4b3c2-7339-4e31-a728-ef42c7d5fde7",169.2,211.5,2024-08-01,7,"female","false","","",2024-01-17,2,80,100,"House","Ferny Grove","4055","QLD",1979-01-12,80100,45,1,1,"designerbreed","water dog","cavoodle","cavoodle","false",1970-01-01,2024-01-18,"Evening (18:00 - 23:59)","exposure_6bd4b3c2-7339-4e31-a728-ef42c7d5fde7",1
"21","2024-06-27 00:00:00","covered_paid","Injuries","claim_a0e3f03c-784a-47b9-bc04-902766cef791",5,"exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",123.636363636364,154.545454545455,2024-08-01,7,"male","false","","",2023-12-31,1,80,100,"House","Greendale","3341","VIC",1966-01-22,80100,57,1,2,"unnamed cross","unknown","border collie cross","border collie cross","false",1970-01-01,2024-01-01,"Morning (05:00 - 11:59)","exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",1
"22","2024-01-11 00:00:00","covered_paid","Allergies & skin","claim_4bf0b421-5af6-46ed-8e5e-fb8000416306",2,"exposure_76ecded4-7bda-46e7-b4bb-4b34e97acfaa",92.6181818181818,193.818181818182,2024-08-01,9,"male","false","","",2023-11-03,17,90,100,"House","Moama","2731","NSW",1974-08-01,90100,49,1,3,"purebred","hound","rhodesian ridgeback","rhodesian ridgeback","false",1970-01-01,2023-11-04,"Morning (05:00 - 11:59)","exposure_76ecded4-7bda-46e7-b4bb-4b34e97acfaa",1
"23","2024-04-15 00:00:00","covered_paid","Illness","claim_6cefaf7a-b8bf-4760-9431-c103c924240b",3,"exposure_77313162-e1d0-4950-8126-16282411bf07",52.6909090909091,156.772727272727,2024-08-01,7,"male","false","","",2024-01-26,3,80,100,"House","Erskineville","2043","NSW",1993-05-06,80100,30,1,2,"unnamed cross","unknown","australian kelpie cross","australian kelpie cross","false",1970-01-01,2024-01-26,"Afternoon (12:00 - 17:59)","exposure_77313162-e1d0-4950-8126-16282411bf07",1
"24","2024-03-04 00:00:00","covered_paid","Other","claim_19990dca-cc11-4aa2-8838-d96a4fb45d0b",1,"exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874",940.945454545454,1267.09090909091,2024-08-01,6,"female","false","","",2024-02-19,2,80,100,"House","Rouse Hill","2155","NSW",1991-12-02,80100,32,1,3,"purebred","spitz related","chow chow","chow chow","false",1970-01-01,2024-02-20,"Evening (18:00 - 23:59)","exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874",1
"25","2024-06-05 00:00:00","covered_paid","Ingestion","claim_3d0a7bdd-5d6c-46ba-bc35-ff764cd79409",3,"exposure_050d63db-da51-4a80-be49-44b73cc08f05",305.663636363636,430.536363636364,2024-08-01,5,"female","false","","",2024-03-19,5,90,100,"House","Newstead","4006","QLD",1998-05-08,90100,25,1,1,"purebred","spitz related","pomeranian","pomeranian","false",1970-01-01,2024-03-20,"Afternoon (12:00 - 17:59)","exposure_050d63db-da51-4a80-be49-44b73cc08f05",1
"26","2024-07-23 00:00:00","covered_with_exclusions_paid","Gastrointestinal Issues","claim_be31ad8d-22a7-4ed5-b0a2-ca1fcf05a9c2",4,"exposure_0de923e3-6844-4dc6-a6fd-e76b227cb8c7",40.3636363636364,160,2024-08-01,5,"male","false","","",2024-03-17,2,80,100,"Apartment","Portarlington","3223","VIC",1947-08-30,80100,76,1,1,"purebred","brachycephalic","cavalier king charles spaniel","cavalier king charles spaniel","true",1970-01-01,2024-03-18,"Evening (18:00 - 23:59)","exposure_0de923e3-6844-4dc6-a6fd-e76b227cb8c7",1
"27","2024-06-17 00:00:00","covered_paid","Other","claim_ac9dc43b-85ae-46a9-bcc5-3cb5e49faea1",6,"exposure_24f6957d-14ff-4512-8893-c90796491939",68,68,2024-08-01,8,"male","false","","",2023-12-01,59,80,100,"House","Banksia Beach","4507","QLD",1976-08-10,80100,47,1,3,"purebred","brachycephalic","american staffordshire terrier","american staffordshire terrier","false",1970-01-01,2023-12-02,"Afternoon (12:00 - 17:59)","exposure_24f6957d-14ff-4512-8893-c90796491939",1
"28","2024-08-09 00:00:00","covered_paid","Ingestion","claim_c668a472-d2bb-4cd2-8591-cad7e906b3a2",6,"exposure_278f26c3-d881-41c5-ab14-7c051e76599c",1096.72727272727,1461.82727272727,2024-08-01,6,"female","false","","",2024-02-11,5,80,100,"House","Seaford","5169","SA",1983-08-23,80100,40,1,1,"purebred","brachycephalic","boston terrier","boston terrier","false",1970-01-01,2024-02-12,"Afternoon (12:00 - 17:59)","exposure_278f26c3-d881-41c5-ab14-7c051e76599c",1
"29","2024-04-04 00:00:00","covered_paid","Ingestion","claim_9afa0dd9-b7b7-43f4-80df-51ec117b8c79",3,"exposure_6bd4b3c2-7339-4e31-a728-ef42c7d5fde7",1415.28181818182,1860.01818181818,2024-08-01,7,"female","false","","",2024-01-17,2,80,100,"House","Ferny Grove","4055","QLD",1979-01-12,80100,45,1,1,"designerbreed","water dog","cavoodle","cavoodle","false",1970-01-01,2024-01-18,"Evening (18:00 - 23:59)","exposure_6bd4b3c2-7339-4e31-a728-ef42c7d5fde7",1
"30","2024-02-16 00:00:00","covered_with_exclusions_paid","Ingestion","claim_cd4f1d85-f8c1-40d7-ab99-1088d4030555",2,"exposure_6fa37bef-9c1b-4ab6-91c7-277595684b02",119.418181818182,284.209090909091,2024-08-01,8,"male","false","","",2023-12-17,30,80,100,"House","Murwillumbah ","2484","NSW",1978-11-15,80100,45,1,1,"purebred","terrier","australian terrier","australian terrier","false",1970-01-01,2023-12-18,"Evening (18:00 - 23:59)","exposure_6fa37bef-9c1b-4ab6-91c7-277595684b02",1
"31","2024-03-08 00:00:00","covered_with_exclusions_paid","Other","claim_93d0ce26-b1c7-43b8-9c12-f3eb6f68801d",1,"exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874",43.3818181818182,235.181818181818,2024-08-01,6,"female","false","","",2024-02-19,2,80,100,"House","Rouse Hill","2155","NSW",1991-12-02,80100,32,1,3,"purebred","spitz related","chow chow","chow chow","false",1970-01-01,2024-02-20,"Evening (18:00 - 23:59)","exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874",1
"32","2024-05-16 00:00:00","covered_paid","Other","claim_02d552b4-c960-4220-88b9-0e1296935a10",5,"exposure_24f6957d-14ff-4512-8893-c90796491939",2907.63636363636,3634.54545454545,2024-08-01,8,"male","false","","",2023-12-01,59,80,100,"House","Banksia Beach","4507","QLD",1976-08-10,80100,47,1,3,"purebred","brachycephalic","american staffordshire terrier","american staffordshire terrier","false",1970-01-01,2023-12-02,"Afternoon (12:00 - 17:59)","exposure_24f6957d-14ff-4512-8893-c90796491939",1
"33","2024-08-09 00:00:00","covered_paid","Ingestion","claim_40af6a4c-672d-488b-b2d2-dfa1795807a3",6,"exposure_278f26c3-d881-41c5-ab14-7c051e76599c",3440.29090909091,4300.36363636364,2024-08-01,6,"female","false","","",2024-02-11,5,80,100,"House","Seaford","5169","SA",1983-08-23,80100,40,1,1,"purebred","brachycephalic","boston terrier","boston terrier","false",1970-01-01,2024-02-12,"Afternoon (12:00 - 17:59)","exposure_278f26c3-d881-41c5-ab14-7c051e76599c",1
"34","2024-06-04 00:00:00","covered_paid","Ortho","claim_98b6d7d3-a7f6-4246-8643-b2f9ac23c4c6",5,"exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",283.636363636364,354.545454545455,2024-08-01,7,"male","false","","",2023-12-31,1,80,100,"House","Greendale","3341","VIC",1966-01-22,80100,57,1,2,"unnamed cross","unknown","border collie cross","border collie cross","false",1970-01-01,2024-01-01,"Morning (05:00 - 11:59)","exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",1
"35","2024-06-11 00:00:00","covered_paid","Other","claim_988c2722-e2e5-4558-b06e-756c6486c6fc",6,"exposure_24f6957d-14ff-4512-8893-c90796491939",63.6363636363636,63.6363636363636,2024-08-01,8,"male","false","","",2023-12-01,59,80,100,"House","Banksia Beach","4507","QLD",1976-08-10,80100,47,1,3,"purebred","brachycephalic","american staffordshire terrier","american staffordshire terrier","false",1970-01-01,2023-12-02,"Afternoon (12:00 - 17:59)","exposure_24f6957d-14ff-4512-8893-c90796491939",1
"36","2024-01-12 00:00:00","covered_with_exclusions_paid","Other","claim_32c32a63-7cd5-48af-b5c0-e8f99e3c0f38",0,"exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",48.4,273.954545454545,2024-08-01,7,"male","false","","",2023-12-31,1,80,100,"House","Greendale","3341","VIC",1966-01-22,80100,57,1,2,"unnamed cross","unknown","border collie cross","border collie cross","false",1970-01-01,2024-01-01,"Morning (05:00 - 11:59)","exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",1
"37","2024-04-13 00:00:00","covered_paid","Ingestion","claim_8c80584e-2386-44c2-a3c5-541803a3dfb1",4,"exposure_6fa37bef-9c1b-4ab6-91c7-277595684b02",2417.52727272727,3112.81818181818,2024-08-01,8,"male","false","","",2023-12-17,30,80,100,"House","Murwillumbah ","2484","NSW",1978-11-15,80100,45,1,1,"purebred","terrier","australian terrier","australian terrier","false",1970-01-01,2023-12-18,"Evening (18:00 - 23:59)","exposure_6fa37bef-9c1b-4ab6-91c7-277595684b02",1
"38","2024-07-24 00:00:00","covered_paid","Allergies & skin","claim_28702b13-7a32-4999-aafd-aa6b001d8e6e",6,"exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",169.163636363636,211.454545454545,2024-08-01,7,"male","false","","",2023-12-31,1,80,100,"House","Greendale","3341","VIC",1966-01-22,80100,57,1,2,"unnamed cross","unknown","border collie cross","border collie cross","false",1970-01-01,2024-01-01,"Morning (05:00 - 11:59)","exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",1
"39","2024-04-03 00:00:00","covered_paid","Ingestion","claim_3287618a-1888-4ad9-8e55-dcffafef3ef8",4,"exposure_6fa37bef-9c1b-4ab6-91c7-277595684b02",60.7181818181818,166.809090909091,2024-08-01,8,"male","false","","",2023-12-17,30,80,100,"House","Murwillumbah ","2484","NSW",1978-11-15,80100,45,1,1,"purebred","terrier","australian terrier","australian terrier","false",1970-01-01,2023-12-18,"Evening (18:00 - 23:59)","exposure_6fa37bef-9c1b-4ab6-91c7-277595684b02",1
"40","2024-03-12 00:00:00","covered_paid","Injuries","claim_0f84fc8d-0138-44fb-b46d-164af4f486b1",3,"exposure_24f6957d-14ff-4512-8893-c90796491939",181.854545454545,318.227272727273,2024-08-01,8,"male","false","","",2023-12-01,59,80,100,"House","Banksia Beach","4507","QLD",1976-08-10,80100,47,1,3,"purebred","brachycephalic","american staffordshire terrier","american staffordshire terrier","false",1970-01-01,2023-12-02,"Afternoon (12:00 - 17:59)","exposure_24f6957d-14ff-4512-8893-c90796491939",1
"41","2024-08-09 00:00:00","covered_paid","Ortho","claim_c66e9417-8fc2-4c68-b60d-9a25e376552b",7,"exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",61.8181818181818,77.2727272727273,2024-08-01,7,"male","false","","",2023-12-31,1,80,100,"House","Greendale","3341","VIC",1966-01-22,80100,57,1,2,"unnamed cross","unknown","border collie cross","border collie cross","false",1970-01-01,2024-01-01,"Morning (05:00 - 11:59)","exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",1
"42","2024-08-30 00:00:00","covered_paid","Other","claim_2729bf49-a2a1-46a3-9c4e-cb2e8abb2965",7,"exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",61.8181818181818,77.2727272727273,2024-08-01,7,"male","false","","",2023-12-31,1,80,100,"House","Greendale","3341","VIC",1966-01-22,80100,57,1,2,"unnamed cross","unknown","border collie cross","border collie cross","false",1970-01-01,2024-01-01,"Morning (05:00 - 11:59)","exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",1
"43","2024-05-30 00:00:00","covered_paid","Other","claim_7e9e6a7c-33e7-4d37-8dfe-fd0223cc1f59",5,"exposure_24f6957d-14ff-4512-8893-c90796491939",6032.72727272727,6032.72727272727,2024-08-01,8,"male","false","","",2023-12-01,59,80,100,"House","Banksia Beach","4507","QLD",1976-08-10,80100,47,1,3,"purebred","brachycephalic","american staffordshire terrier","american staffordshire terrier","false",1970-01-01,2023-12-02,"Afternoon (12:00 - 17:59)","exposure_24f6957d-14ff-4512-8893-c90796491939",1
"44","2024-03-15 00:00:00","covered_paid","Ortho","claim_889696ac-86d2-4b34-9b6c-a068522e63f1",2,"exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",690.909090909091,863.636363636364,2024-08-01,7,"male","false","","",2023-12-31,1,80,100,"House","Greendale","3341","VIC",1966-01-22,80100,57,1,2,"unnamed cross","unknown","border collie cross","border collie cross","false",1970-01-01,2024-01-01,"Morning (05:00 - 11:59)","exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",1
"45","2024-06-12 00:00:00","covered_paid","Other","claim_ee6e8a38-7298-41b2-b3b8-8a7a55450310",6,"exposure_24f6957d-14ff-4512-8893-c90796491939",73.1818181818182,73.1818181818182,2024-08-01,8,"male","false","","",2023-12-01,59,80,100,"House","Banksia Beach","4507","QLD",1976-08-10,80100,47,1,3,"purebred","brachycephalic","american staffordshire terrier","american staffordshire terrier","false",1970-01-01,2023-12-02,"Afternoon (12:00 - 17:59)","exposure_24f6957d-14ff-4512-8893-c90796491939",1
"46","2024-01-17 00:00:00","covered_paid","Other","claim_521b137c-81bb-4f8b-9b46-bb72828f1c1b",0,"exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",424.8,531,2024-08-01,7,"male","false","","",2023-12-31,1,80,100,"House","Greendale","3341","VIC",1966-01-22,80100,57,1,2,"unnamed cross","unknown","border collie cross","border collie cross","false",1970-01-01,2024-01-01,"Morning (05:00 - 11:59)","exposure_6e1899b3-6fec-485f-9172-f5cd2fcd55b8",1
