"","UW_Date","exposure_id","tenure","pet_gender","pet_de_sexed","pet_de_sexed_age","pet_is_switcher","nb_policy_first_inception_date","pet_age_months","nb_contribution","nb_excess","nb_address_type_adj","nb_suburb","nb_postcode","nb_state","person_dob","nb_contribution_excess","owner_age_years","nb_number_of_breeds","nb_average_breed_size","nb_breed_type","nb_breed_trait","nb_breed_name_unique","nb_breed_name_unique_concat","is_multi_pet_plan","lead_date_day","quote_date","quote_time_group","exposure_id_1","earned_units","Total_Earned","claim_nb","Total_claim_amount","Total_claim_paid","claim_freq","sa2_code","qi","density","severity","frequency","pet_is_male","nb_address_type_adj_numerical","nb_state_num","nb_breed_type_num","nb_breed_trait_num","is_multi_pet_plan_num","quote_time_group_num","size_encoding","owner_x_pet_age","age_breed_interaction","age_breed_interaction_bins","person_age","person_age_group","pet_age_year","nb_breed_trait_num_encoded"
"1",2024-01-01,"exposure_4a0a1be6-a198-434c-8ff4-c7a59049a806",2,"male","false","","",2023-11-03,4,100,100,"House","Sunshine West","3020","VIC",1996-04-27,100100,27,1,3,"purebred","shepherd type","german shepherd","german shepherd","false",1970-01-01,2023-11-04,"Afternoon (12:00 - 17:59)","exposure_4a0a1be6-a198-434c-8ff4-c7a59049a806",0.0342741935483871,0.0342741935483871,0,0,0,0,"213011328","Poor",1680.6,NA,0,1,2,7,3,12,1,1,1,1,10,3,28,2,0.333333333333333,16
"2",2024-02-01,"exposure_f5adb9d3-3d00-4b09-a77a-c494ac9dc29e",1,"female","true","4-6 mo","",2024-01-19,53,80,0,"House","Broadbeach Waters","4218","QLD",1966-07-29,800,57,1,3,"purebred","hound","weimaraner","weimaraner","false",1970-01-01,2024-01-14,"Morning (05:00 - 11:59)","exposure_f5adb9d3-3d00-4b09-a77a-c494ac9dc29e",0,0.387096774193548,0,0,0,0,"309011224","Poor",1628.6,NA,0,0,2,4,3,6,1,4,1,10,10,32,58,3,4.41666666666667,12
"3",2024-02-01,"exposure_44624213-1393-47a7-bb71-854291aefd5c",1,"female","false","","",2024-01-01,2,90,0,"House","Wattle Glen","3096","VIC",1948-01-30,900,76,1,3,"purebred","water dog","poodlestandard","poodlestandard","false",1970-01-01,2024-01-02,"Afternoon (12:00 - 17:59)","exposure_44624213-1393-47a7-bb71-854291aefd5c",0,0.301075268817204,0,0,0,0,"209031215","Good",542.3,NA,0,0,2,7,3,20,1,1,1,1,6,2,76,4,0.166666666666667,8
"4",2024-02-01,"exposure_f7a35953-c055-455b-a457-caef7bdab9d2",4,"male","false","","",2023-10-14,34,90,0,"House","Maitland","2320","NSW",1973-10-07,900,50,1,1,"designerbreed","water dog","cavoodle","cavoodle","true",1970-01-01,2023-10-12,"Morning (05:00 - 11:59)","exposure_f7a35953-c055-455b-a457-caef7bdab9d2",0,1,0,0,0,0,"106011107","Acceptable",36.6,NA,0,1,2,2,2,20,2,4,1,10,10,7,51,3,2.83333333333333,8
"5",2024-02-01,"exposure_4487ea09-8be9-4d64-b3da-899e58bc361d",2,"female","false","","",2023-12-18,2,90,0,"House","Thomastown","3074","VIC",1996-01-15,900,27,1,1,"purebred","brachycephalic","pug","pug","false",1970-01-06,2023-12-13,"Afternoon (12:00 - 17:59)","exposure_4487ea09-8be9-4d64-b3da-899e58bc361d",0,0.580645161290323,0,0,0,0,"209041219","Good",NA,NA,0,0,2,7,3,2,1,1,1,1,2,1,28,2,0.166666666666667,10
"6",2024-02-01,"exposure_55441670-a924-436f-9d5e-84aaf2ce40ba",2,"female","true","7-12 mo","",2023-12-19,28,100,100,"House","Benowa","4217","QLD",1998-09-15,100100,25,1,1,"unnamed cross","unknown","pomeranian cross","pomeranian cross","false",1970-01-01,2023-12-19,"Evening (18:00 - 23:59)","exposure_55441670-a924-436f-9d5e-84aaf2ce40ba",0,1,0,0,0,0,"309101267","Poor",1589.1,NA,0,0,2,4,4,19,1,2,1,4,10,6,26,2,2.33333333333333,14
"7",2024-02-01,"exposure_22d54bb3-a145-425c-86d9-37dfbf18f0d5",3,"female","false","","",2023-11-06,4,90,0,"House","Heathridge","6027","WA",1992-01-30,900,31,1,1,"purebred","terrier","jack russell terrier","jack russell terrier","false",1970-01-01,2023-11-06,"Evening (18:00 - 23:59)","exposure_22d54bb3-a145-425c-86d9-37dfbf18f0d5",0,0.333333333333333,0,0,0,0,"505011070","Poor",1581.4,NA,0,0,2,8,3,17,1,2,1,1,4,1,32,2,0.333333333333333,3
"8",2024-02-01,"exposure_2884ef39-7bcd-4040-b783-8f107734788a",0,"female","true","4-6 mo","",2024-01-31,36,80,100,"House","Morpeth","2321","NSW",1939-08-02,80100,84,1,1,"designerbreed","water dog","cavoodle","cavoodle","false",1970-01-01,2024-01-17,"Morning (05:00 - 11:59)","exposure_2884ef39-7bcd-4040-b783-8f107734788a",2.77555756156289e-17,2.77555756156289e-17,0,0,0,0,"106011107","Acceptable",36.6,NA,0,0,2,2,2,20,1,4,1,10,10,8,85,5,3,8
"9",2024-02-01,"exposure_f26ce4f2-2b29-449f-9fc2-970705465a76",1,"male","false","","",2024-01-29,1,100,100,"House","Eight Mile Plains","4113","QLD",1975-08-06,100100,48,1,1,"designerbreed","water dog","cavoodle","cavoodle","false",1970-01-01,2024-01-30,"Evening (18:00 - 23:59)","exposure_f26ce4f2-2b29-449f-9fc2-970705465a76",0,0.0666666666666667,0,0,0,0,"303031060","Poor",2105.5,NA,0,1,2,4,2,20,1,2,1,1,1,1,49,3,0.0833333333333333,8
"10",2024-02-01,"exposure_1939c6c3-cc5c-4c92-afe4-1333d723a6b3",3,"female","false","","",2023-11-06,2,90,0,"House","Ermington","2115","NSW",1974-06-13,900,49,1,1,"purebred","water dog","poodletoy","poodletoy","false",1970-01-01,2023-11-07,"Morning (05:00 - 11:59)","exposure_1939c6c3-cc5c-4c92-afe4-1333d723a6b3",0,0.222222222222222,0,0,0,0,"125021477","Acceptable",2627.9,NA,0,0,2,2,3,20,1,4,1,1,2,1,50,3,0.166666666666667,8
"11",2024-02-01,"exposure_0a5e7857-eb83-43c3-b858-4f4a6ab715a2",3,"male","false","","",2023-11-21,3,100,100,"House","Mawson Lakes","5095","SA",1963-02-01,100100,60,1,1,"purebred","spitz related","schnauzerminiature","schnauzerminiature","false",1970-01-01,2023-11-21,"Evening (18:00 - 23:59)","exposure_0a5e7857-eb83-43c3-b858-4f4a6ab715a2",0,0.67741935483871,0,0,0,0,"402041042","Poor",3.9,NA,0,1,2,5,3,15,1,2,1,1,3,1,61,4,0.25,15
"12",2024-02-01,"exposure_162599da-2ec6-4e42-9643-4d3af52ab8b1",3,"female","false","","",2023-11-13,2,80,100,"House","West Lakes Shore","5020","SA",1978-02-08,80100,45,1,3,"purebred","retriever","golden retriever","golden retriever","true",1970-01-01,2023-11-14,"Morning (05:00 - 11:59)","exposure_162599da-2ec6-4e42-9643-4d3af52ab8b1",0,0.419354838709677,0,0,0,0,"404011096","Acceptable",1843.7,NA,0,0,2,5,3,10,2,4,1,1,6,2,46,3,0.166666666666667,9
